experimentRun,subRun,evaluate_original,start_block_height,end_block_height,kafka_partitions,batching,match_on_previous_add,heap_size,bypass_kafka,check_correctness,endTimePart1,endTimePart2,totalExecutionTime,timeOutReached
1,1,False,1,10001,1,0,True,5,False,False,1417.173063993454,1417.0548479557037,1417.196832895279,False
1,2,False,1,10001,1,0,True,5,False,False,1407.963276386261,1407.8537955284119,1407.9784228801727,False
1,3,False,1,10001,1,0,True,5,False,False,1415.659206867218,1416.545244216919,1416.6725594997406,False
1,4,False,1,10001,1,0,True,5,False,False,1415.8343482017517,1416.720456123352,1416.8480386734009,False
1,5,False,1,10001,1,0,True,5,False,False,1407.9754357337952,1407.8661201000214,1407.9920854568481,False
2,1,False,1,10001,2,0,True,5,False,False,1400.68434715271,1401.5709040164948,1401.6977000236511,False
2,2,False,1,10001,2,0,True,5,False,False,1402.7616930007935,1402.6493966579437,1402.7722706794739,False
2,3,False,1,10001,2,0,True,5,False,False,1398.0324368476868,1397.9219818115234,1398.0483465194702,False
2,4,False,1,10001,2,0,True,5,False,False,1397.7947568893433,1398.6831829547882,1398.807258605957,False
2,5,False,1,10001,2,0,True,5,False,False,1399.3378036022186,1400.2209000587463,1400.350872039795,False
3,1,False,1,10001,4,0,True,5,False,False,1404.509027481079,1405.3970830440521,1405.522519826889,False
3,2,False,1,10001,4,0,True,5,False,False,1405.1614799499512,1406.0443353652954,1406.173457622528,False
3,3,False,1,10001,4,0,True,5,False,False,1398.9375185966492,1399.8348021507263,1399.9605565071106,False
3,4,False,1,10001,4,0,True,5,False,False,1401.007730960846,1401.8874247074127,1402.0188422203064,False
3,5,False,1,10001,4,0,True,5,False,False,1414.4679536819458,1415.3537158966064,1415.4815034866333,False
4,1,False,1,10001,8,0,True,5,False,False,1399.4609422683716,1400.3448243141174,1400.4733855724335,False
4,2,False,1,10001,8,0,True,5,False,False,1403.3797399997711,1403.2655200958252,1403.3883693218231,False
4,3,False,1,10001,8,0,True,5,False,False,1400.7532200813293,1400.634191274643,1400.762372970581,False
4,4,False,1,10001,8,0,True,5,False,False,1395.7990617752075,1396.6888222694397,1396.810158252716,False
4,5,False,1,10001,8,0,True,5,False,False,1406.8398818969727,1406.7265923023224,1406.8505861759186,False
5,1,False,1,10001,1,1,True,5,False,False,1403.2650334835052,1404.0630548000336,1404.2778251171112,False
5,2,False,1,10001,1,1,True,5,False,False,1408.1954357624054,1408.998128414154,1409.2071306705475,False
5,3,False,1,10001,1,1,True,5,False,False,1404.7874901294708,1405.6561789512634,1405.799128293991,False
5,4,False,1,10001,1,1,True,5,False,False,1410.0516612529755,1409.8488538265228,1410.0614273548126,False
5,5,False,1,10001,1,1,True,5,False,False,1407.8204052448273,1408.637734413147,1408.833497285843,False
6,1,False,1,10001,1,10,True,5,False,False,1397.1897451877594,1398.0458447933197,1398.2030124664307,False
6,2,False,1,10001,1,10,True,5,False,False,1402.5081942081451,1403.1000890731812,1403.5202541351318,False
6,3,False,1,10001,1,10,True,5,False,False,1396.179589509964,1396.4316623210907,1397.1941261291504,False
6,4,False,1,10001,1,10,True,5,False,False,1402.616427898407,1403.2111167907715,1403.6304805278778,False
6,5,False,1,10001,1,10,True,5,False,False,1406.1147079467773,1406.135425567627,1407.1285712718964,False
7,1,False,1,10001,1,100,True,5,False,False,1401.9683196544647,1405.7561073303223,1411.0070629119873,False
7,2,False,1,10001,1,100,True,5,False,False,1399.5865287780762,1394.606451034546,1403.6086692810059,False
7,3,False,1,10001,1,100,True,5,False,False,1403.157828092575,1404.257752418518,1405.1719858646393,False
7,4,False,1,10001,1,100,True,5,False,False,1413.0213453769684,1413.8010594844818,1423.0623898506165,False
