,inDegree,outDegree,address,vendor,review
0,1,1,1LHMKzHsmKrsU6BzX7bTkRLXr768KNZ7he,b7906806e9f4a5148a23b66f6c0ac0ed,106810.0
1,1,1,3GuLymm9gigDk7m2B3qK9j8qyaYBXy4WaE,b7906806e9f4a5148a23b66f6c0ac0ed,106810.0
