,date,inDegree,inSum,outDegree,outSum,txid,vendor,review
0,2019-07-27,8,2834572,1,2831588.0,3ea0e13f1740f437189f8bc80a3d713ab2f07946525e6cb956d4604a045d78f3,b7906806e9f4a5148a23b66f6c0ac0ed,106810.0
1,2019-07-29,51,101843003,0,,414a4612d5eb8df6d798a1ae969d036d65eb6245b9bc1059c85211ba895dda77,b7906806e9f4a5148a23b66f6c0ac0ed,106810.0
